,Text,Date
134,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 06:00:07+00:00
135,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 06:00:06+00:00
136,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:59:50+00:00
137,@evildarkskin @yourfavcreole No one’s dumb explain what this has to do with feminism?,2023-05-07 05:59:49+00:00
138,RT @JamalThaRebel: salah satu contoh feminism ni tak guna ambik contoh peperangan Ukraine &amp; Russia. men can't leave &amp; dying everyday while…,2023-05-07 05:59:38+00:00
139,"RT @its_daqueen: Well, that's to tell you that feminism is just common sense and none of these roles are ""natural"" and ""God made"". They are…",2023-05-07 05:59:36+00:00
140,RT @Ambar_SIFF_MRA: Hindu mahasabha chief doesn't care about false 498a cases but talks about dowry and forgets that giving dowry is also a…,2023-05-07 05:59:31+00:00
141,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:59:25+00:00
142,"@Springrain77 @stillgray Nope. Feminism emasculated men. 

30 years ago if that crazy man grabbed a woman, he would… https://t.co/7WvoL3r1jQ",2023-05-07 05:59:23+00:00
143,"RT @LWCSBoston: After earning her PhD, Grace Lee Boggs struggled to find sustaining work &amp; housing due to racism. She moved to #Detroit &amp; m…",2023-05-07 05:59:20+00:00
144,"RT @TheRealKeean: This wasn't one incident out of many successful prescribed burns. No, this was attempt #1 of fighting fires with feminism…",2023-05-07 05:59:15+00:00
145,RT @Too_mishe: Scenes when you realize that feminism is just common sense and the reason why these girls reason in such lines is because th…,2023-05-07 05:59:01+00:00
146,"@MollyJongFast @VanityFair Mrs. Carroll’s problem and all out of body feminists in the 21st century, …is that femin… https://t.co/V7Tal0u3IE",2023-05-07 05:58:10+00:00
147,Thank you @WhitlockJason for giving the #BlackManoSphere the #respect it deserves! 👊🏿 #Manosphere #RedPill… https://t.co/ckXeawv0wo,2023-05-07 05:58:09+00:00
148,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:57:43+00:00
149,RT @soitfuckingoes: feminism leaving my body when i listen to better than revenge (taylor's version) https://t.co/XOW6eJ1V0Q,2023-05-07 05:57:24+00:00
150,RT @tayspetsch: feminism leaving my body the moment i listen to better than revenge (taylor’s version) https://t.co/V6fHlReVHp,2023-05-07 05:56:58+00:00
151,@JarrBelle @RadFemme74 @Hereticalturf @ChristyLAbbey @K8T1144 @forevershallon @K60617909 @bgpereira3 @SequinSte… https://t.co/xUWXuaOFsH,2023-05-07 05:56:48+00:00
152,"RT @Behembaba: This is Queen Elizabeth I, who in 1562 authorized the beginning of the Transatlantic Slave Trade which in turn lead to the d…",2023-05-07 05:56:37+00:00
153,"RT @dhcpred: It’s not feminism
Children are just yet to be indoctrinated into anything, so they speak with zero bias

Sometimes, listen to…",2023-05-07 05:56:27+00:00
154,RT @chakravartiin: If you are such a great proponent of feminism start at home resign your posts as PMs &amp; CMs of country as MPs &amp; MLAs and…,2023-05-07 05:56:14+00:00
155,"@ani_digital @ANI Wake me up when even a single woman loses her life on the borders, This is chronic feminism.",2023-05-07 05:56:02+00:00
